Id,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
3495,Tue Sep 11 14:38:01 EDT 2018,GET,https://www.google.com/_/chrome/newtab-serviceworker.js,200,OK,98,3704,,false,
3496,Tue Sep 11 14:38:01 EDT 2018,GET,https://ssl.gstatic.com/chrome/components/doodle-notifier-01.html,200,OK,31,1976,,false,Script
3507,Tue Sep 11 14:38:01 EDT 2018,GET,"https://www.google.com/xjs/_/js/k=xjs.ntp.en_US.zLQqk7fJEwY.O/m=sx,jsa,ntp,d,csi/am=wHhgYgo/rt=j/d=1/rs=ACT90oHXMmL23pQ-r2JFfuegJnLLp0U3pQ",200,OK,135,365352,,false,"Hidden, Comment"
3497,Tue Sep 11 14:38:01 EDT 2018,GET,"https://www.google.com/xjs/_/js/k=xjs.ntp.en_US.zLQqk7fJEwY.O/am=wHhgYgo/rt=j/d=1/exm=sx,jsa,ntp,d,csi/ed=1/rs=ACT90oHXMmL23pQ-r2JFfuegJnLLp0U3pQ/m=spch?xjs=s1",200,OK,46,10029,,false,
3504,Tue Sep 11 14:38:01 EDT 2018,POST,"https://www.google.com/gen_204?atyp=csi&ei=fQuYW_S6IsXI5gKqoZjQAw&s=newtab&t=all&adh=&conn=onchange&ima=0&ime=0&imeb=0&imeo=0&mem=ujhs.10,tjhs.10,jhsl.2330,dm.8&net=dl.1300,ect.4g,rtt.100&sys=hc.8&rt=aft.65,ol.68,prt.65,xjs.243,xjsee.243,xjses.198,xjsls.71,wsrt.1162,cst.616,dnst.0,rqst.135,rspt.3,sslt.615,rqstt.628,unt.11,cstt.12,dit.1229&zx=1536691081788",204,No Content,52,0,,false,
3508,Tue Sep 11 14:38:01 EDT 2018,GET,"https://www.google.com/async/newtab?ei=fQuYW_S6IsXI5gKqoZjQAw&yv=3&async=xid:1,_fmt:json",200,OK,177,258859,,false,"Comment, JSON"
3506,Tue Sep 11 14:38:01 EDT 2018,POST,"https://www.google.com/gen_204?atyp=csi&ei=fQuYW_S6IsXI5gKqoZjQAw&s=newtab&t=all&action=perf&conn=onchange&ima=0&ime=0&imeb=0&imeo=0&mem=ujhs.10,tjhs.10,jhsl.2330,dm.8&net=dl.1300,ect.4g,rtt.100&sys=hc.8&rt=nti.230,fbd.232,thd.237,dbi.266,mvtr.292,wsrt.1163,cst.616,dnst.0,rqst.135,rspt.3,sslt.615,rqstt.628,unt.11,cstt.12,dit.1229&zx=1536691081831",204,No Content,58,0,,false,
3510,Tue Sep 11 14:38:02 EDT 2018,POST,"https://www.google.com/gen_204?atyp=csi&ei=fQuYW_S6IsXI5gKqoZjQAw&s=newtab&t=all&action=update&conn=onchange&ima=0&ime=0&imeb=0&imeo=0&mem=ujhs.10,tjhs.10,jhsl.2330,dm.8&net=dl.1300,ect.4g,rtt.100&sys=hc.8&rt=xhrn.204,wsrt.1436,cst.616,dnst.0,rqst.135,rspt.3,sslt.615,rqstt.628,unt.11,cstt.12,dit.1229&zx=1536691082017",204,No Content,27,0,,false,
3514,Tue Sep 11 14:38:02 EDT 2018,GET,https://www.google.com/gen_204?atyp=i&ct=3&cad=i&ogsr=1&id=19008138&ic=0&ogd=google.com&ogprm=up&ei=fQuYW_S6IsXI5gKqoZjQAw&zx=1536691082061,204,No Content,28,0,,false,SetCookie
3518,Tue Sep 11 14:39:58 EDT 2018,GET,https://localhost:8443,200,OK,23,16,,false,SetCookie
4435,Tue Sep 11 14:45:38 EDT 2018,GET,https://localhost:8443,200,OK,23,16,,false,SetCookie
5352,Tue Sep 11 14:46:32 EDT 2018,GET,https://localhost:8443,200,OK,10,16,,false,SetCookie
